Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,INTGRNL,-514
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,INTIFA2,422
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,INTIRL,-312
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,INTNED,498
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,INTNEM,124
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,INTNSL,1398
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,INTVKL,694
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,NPSHYD,472
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,NUCLEAR,4239
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,OCGT,0
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,OIL,0
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,OTHER,273
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,PS,-1622
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,WIND,4160
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,BIOMASS,3017
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,CCGT,14524
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,COAL,0
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,INTELEC,0
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,INTEW,-306
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,INTFR,754
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,INTGRNL,-514
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,INTIFA2,426
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,INTIRL,-312
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,INTNED,542
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,INTNEM,126
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,INTNSL,1398
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,INTVKL,696
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,NPSHYD,472
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,NUCLEAR,4220
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,OCGT,1
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,OIL,0
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,OTHER,287
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,PS,-1406
FUELHH,2025-02-06T02:30:00Z,2025-02-06T02:00:00Z,2025-02-06,5,WIND,3960
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,BIOMASS,2989
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,CCGT,14988
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,COAL,0
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,INTELEC,0
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,INTEW,-408
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,INTFR,794
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,INTGRNL,-514
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,INTIFA2,246
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,INTIRL,-312
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,INTNED,472
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,INTNEM,262
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,INTNSL,1398
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,INTVKL,696
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,NPSHYD,469
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,NUCLEAR,4209
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,OCGT,1
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,OIL,0
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,OTHER,285
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,PS,-1156
FUELHH,2025-02-06T02:00:00Z,2025-02-06T01:30:00Z,2025-02-06,4,WIND,3945
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,BIOMASS,3005
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,CCGT,15308
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,COAL,0
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,INTELEC,0
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,INTEW,-448
